date,address,active_apartments
2023-07-01,ГП-3,9
2023-07-01,ГП-4,26
2023-07-01,ГП-5,301
2023-07-01,ГП-6,20
2023-07-01,ГП-7,332
2023-07-02,ГП-3,9
2023-07-02,ГП-4,26
2023-07-02,ГП-5,301
2023-07-02,ГП-6,20
2023-07-02,ГП-7,332
2023-07-03,ГП-3,9
2023-07-03,ГП-4,26
2023-07-03,ГП-5,301
2023-07-03,ГП-6,20
2023-07-03,ГП-7,332
2023-07-04,ГП-3,9
2023-07-04,ГП-4,26
2023-07-04,ГП-5,301
2023-07-04,ГП-6,20
2023-07-04,ГП-7,331
2023-07-05,ГП-3,8
2023-07-05,ГП-4,25
2023-07-05,ГП-5,301
2023-07-05,ГП-6,20
2023-07-05,ГП-7,311
2023-07-06,ГП-3,8
2023-07-06,ГП-4,25
2023-07-06,ГП-5,301
2023-07-06,ГП-6,20
2023-07-06,ГП-7,311
2023-07-07,ГП-3,8
2023-07-07,ГП-4,25
2023-07-07,ГП-5,301
2023-07-07,ГП-6,20
2023-07-07,ГП-7,311
2023-07-08,ГП-3,8
2023-07-08,ГП-4,25
2023-07-08,ГП-5,301
2023-07-08,ГП-6,20
2023-07-08,ГП-7,311
2023-07-09,ГП-3,8
2023-07-09,ГП-4,25
2023-07-09,ГП-5,301
2023-07-09,ГП-6,20
2023-07-09,ГП-7,311
2023-07-10,ГП-3,8
2023-07-10,ГП-4,25
2023-07-10,ГП-5,301
2023-07-10,ГП-6,20
2023-07-10,ГП-7,311
2023-07-11,ГП-3,8
2023-07-11,ГП-4,25
2023-07-11,ГП-5,301
2023-07-11,ГП-6,20
2023-07-11,ГП-7,311
2023-07-12,ГП-3,8
2023-07-12,ГП-4,25
2023-07-12,ГП-5,301
2023-07-12,ГП-6,20
2023-07-12,ГП-7,311
2023-07-13,ГП-3,8
2023-07-13,ГП-4,25
2023-07-13,ГП-5,301
2023-07-13,ГП-6,20
2023-07-13,ГП-7,311
2023-07-14,ГП-3,8
2023-07-14,ГП-4,25
2023-07-14,ГП-5,301
2023-07-14,ГП-6,20
2023-07-14,ГП-7,311
2023-07-15,ГП-3,8
2023-07-15,ГП-4,25
2023-07-15,ГП-5,301
2023-07-15,ГП-6,20
2023-07-15,ГП-7,311
2023-07-16,ГП-3,8
2023-07-16,ГП-4,25
2023-07-16,ГП-5,301
2023-07-16,ГП-6,20
2023-07-16,ГП-7,311
2023-07-17,ГП-3,8
2023-07-17,ГП-4,25
2023-07-17,ГП-5,301
